Macro-attribut;Chemin;Cas de test ;R‚sultat;;;;;;
type_entite_juridique;/referentiel/codification-backend/codifications?include=type_entite_juridique&filter[type_entite_juridique.libelle]=nte!ste&instance=VALEUR_REFERENCE;00078;KO;;;;;;
type_entite_juridique;/referentiel/codification-backend/codifications?include=type_entite_juridique&sort=type_entite_juridique.libelle&instance=VALEUR_REFERENCE;00079;KO;;;;;;
type_entite_juridique;/referentiel/codification-backend/codifications?include=type_entite_juridique&sort=-type_entite_juridique.libelle&instance=VALEUR_REFERENCE;00080;KO;;;;;;
type_entite_juridique;/referentiel/codification-backend/codifications?include=type_entite_juridique&filter[type_entite_juridique.actif]=ega!true&instance=VALEUR_REFERENCE;00081;KO;;;;;;
type_entite_juridique;/referentiel/codification-backend/codifications?include=type_entite_juridique&filter[type_entite_juridique.actif]=neg!false&instance=VALEUR_REFERENCE;00082;KO;;;;;;
type_entite_juridique;/referentiel/codification-backend/codifications?include=type_entite_juridique&filter[type_entite_juridique.actif]=ega!false&instance=VALEUR_REFERENCE;00083;OK;;;;;;
type_entite_juridique;/referentiel/codification-backend/codifications?include=type_entite_juridique&filter[type_entite_juridique.actif]=neg!true&instance=VALEUR_REFERENCE;00084;OK;;;;;;
type_entite_juridique;/referentiel/codification-backend/codifications?include=type_entite_juridique&filter[type_entite_juridique.date_debut_validite]=ega!2017-06-09T00:00:00Z&instance=VALEUR_REFERENCE;00085;KO;;;;;;
type_entite_juridique;/referentiel/codification-backend/codifications?include=type_entite_juridique&filter[type_entite_juridique.date_debut_validite]=neg!2017-06-09T00:00:00Z&instance=VALEUR_REFERENCE;00086;KO;;;;;;
type_entite_juridique;/referentiel/codification-backend/codifications?include=type_entite_juridique&filter[type_entite_juridique.date_debut_validite=sup!2017-06-09T00:00:00Z&instance=VALEUR_REFERENCE;00087;KO;;;;;;
type_entite_juridique;/referentiel/codification-backend/codifications?include=type_entite_juridique&filter[type_entite_juridique.date_debut_validite]=sue!2017-06-09T00:00:00Z&instance=VALEUR_REFERENCE;00088;KO;;;;;;
type_entite_juridique;/referentiel/codification-backend/codifications?include=type_entite_juridique&filter[type_entite_juridique.date_debut_validite]=inf!2017-06-09T00:00:00Z&instance=VALEUR_REFERENCE;00089;KO;;;;;;
type_entite_juridique;/referentiel/codification-backend/codifications?include=type_entite_juridique&filter[type_entite_juridique.date_debut_validite]=ine!2017-06-09T00:00:00Z&instance=VALEUR_REFERENCE;00090;KO;;;;;;
type_entite_juridique;/referentiel/codification-backend/codifications?include=type_entite_juridique&sort=type_entite_juridique.date_debut_validite&instance=VALEUR_REFERENCE;00091;KO;;;;;;
type_entite_juridique;/referentiel/codification-backend/codifications?include=type_entite_juridique&sort=-type_entite_juridique.date_debut_validite&instance=VALEUR_REFERENCE;00092;KO;;;;;;
type_entite_juridique;/referentiel/codification-backend/codifications?include=type_entite_juridique&filter[type_entite_juridique.date_fin_validite]=ega!null&instance=VALEUR_REFERENCE;00093;KO;;;;;;
type_entite_juridique;/referentiel/codification-backend/codifications?include=type_entite_juridique&filter[type_entite_juridique.date_fin_validite]=neg!null&instance=VALEUR_REFERENCE;00094;KO;;;;;;
type_entite_juridique;/referentiel/codification-backend/codifications?include=type_entite_juridique&filter[type_entite_juridique.date_fin_validite=sup!null&instance=VALEUR_REFERENCE;00095;KO;;;;;;
type_entite_juridique;/referentiel/codification-backend/codifications?include=type_entite_juridique&filter[type_entite_juridique.date_fin_validite]=sue!null&instance=VALEUR_REFERENCE;00096;KO;;;;;;
type_entite_juridique;/referentiel/codification-backend/codifications?include=type_entite_juridique&filter[type_entite_juridique.date_fin_validite]=inf!null&instance=VALEUR_REFERENCE;00097;KO;;;;;;
